people_ID,infect_prob
5942,51.0570068359375
18664,50.86139678955078
5603,52.49952697753906
5649,51.95474624633789
5099,50.73632049560547
18749,49.458003997802734
5228,50.8023796081543
5559,51.3198127746582
5220,44.86463928222656
5476,51.4887809753418
5260,50.182430267333984
17638,51.07844543457031
18635,52.04448318481445
18794,70.82811737060547
5263,50.36857604980469
17680,50.92900848388672
18030,50.995689392089844
18090,52.152950286865234
18455,50.508544921875
18155,51.20650100708008
18116,64.23388671875
18144,51.219173431396484
5218,57.58335494995117
5386,50.49612808227539
18105,51.94742965698242
5735,51.67561340332031
5900,51.5810546875
18391,66.033447265625
5786,50.658714294433594
18639,50.50673294067383
17984,51.97947311401367
18274,51.03452682495117
5425,50.11701202392578
6076,48.73341751098633
18545,51.05181884765625
17697,73.74171447753906
6137,51.00457000732422
6083,50.8587646484375
17730,50.158329010009766
5896,43.54048538208008
18906,50.764312744140625
17808,51.26959991455078
6078,51.6130485534668
5516,51.628623962402344
18093,50.7659912109375
6120,49.4743766784668
18154,49.694366455078125
17935,51.60976028442383
18769,88.867431640625
18264,51.66457748413086
18076,48.80800247192383
18035,51.810184478759766
18051,50.36544418334961
18676,51.11386489868164
5332,52.92100143432617
5898,76.40453338623047
18370,51.48698043823242
17706,50.984092712402344
5198,50.084651947021484
18360,50.54477310180664
18240,52.89792251586914
18691,51.117679595947266
5768,51.436832427978516
18315,50.94725799560547
18776,50.869651794433594
6225,50.96601104736328
17983,52.23798370361328
17973,50.28409194946289
5805,31.825593948364258
5500,50.97210693359375
5305,50.25300216674805
18243,50.97162628173828
5169,72.63067626953125
5258,52.971134185791016
17810,69.19184875488281
5714,52.88172149658203
6070,58.65460205078125
5959,52.40245056152344
18771,51.32654571533203
17765,52.789737701416016
18822,51.60068893432617
17735,89.77521514892578
17966,50.89430618286133
18861,50.62670135498047
18236,50.73322296142578
18750,28.254344940185547
17809,55.294429779052734
6049,50.9072380065918
18465,50.63930130004883
6201,51.53689956665039
18877,46.71534729003906
5087,50.96783447265625
17742,49.212501525878906
17941,53.15599822998047
18421,51.38957214355469
18489,50.83177185058594
6299,41.43031311035156
18428,51.48078918457031
5563,53.07044219970703
18796,50.57764434814453
5849,62.767417907714844
5661,51.049747467041016
5893,50.40729522705078
5378,55.069820404052734
5622,50.93270492553711
5823,51.42140197753906
18521,48.884765625
5502,50.613407135009766
18785,50.83820724487305
17783,50.801116943359375
18424,63.98890686035156
18147,50.9476432800293
18881,44.89910888671875
18851,52.49831008911133
17686,50.99799728393555
5100,49.782081604003906
5213,51.626041412353516
18252,51.4000129699707
5576,50.53832244873047
18050,51.307613372802734
5875,51.10833740234375
6059,49.35148620605469
18599,49.75638198852539
5173,50.85702133178711
5461,49.65517044067383
5151,74.2815170288086
5266,51.74240493774414
5514,93.18657684326172
5224,50.633785247802734
18069,49.9718132019043
5587,50.98930740356445
17874,51.36187744140625
5536,39.658050537109375
5215,51.54048538208008
5400,55.732460021972656
17857,50.3736457824707
6043,60.68873596191406
18330,51.46261215209961
18333,50.88496017456055
